"","logFC","logCPM","F","PValue","FDR"
"ENSG00000106976",-1.75832119207168,5.3769552716914,86.7388747998315,6.53107777766926e-06,0.00115802068760962
"ENSG00000145685",-1.24759718817659,6.56411157140279,86.2609193764289,6.68047057149805e-06,0.00116607905616772
"ENSG00000143320",-1.67525055630799,6.1297159117745,86.0510426447779,6.74764305317486e-06,0.00116607905616772
"ENSG00000135362",1.53411510625081,2.40775245200305,85.8980291576356,6.80738953576004e-06,0.00116607905616772
"ENSG00000157214",1.98356056581305,7.13749684809864,85.7428567418314,6.84772281370659e-06,0.00116607905616772
"ENSG00000103064",1.42180510244391,5.19319655113624,85.0831587368641,7.06825775869255e-06,0.00119183299207601
"ENSG00000127824",-1.54231431956083,3.43734842417728,84.8194301037261,7.16313469817404e-06,0.00119610440460093
"ENSG00000099860",1.45078086306989,4.11230896433076,83.9769905285387,7.45921109580724e-06,0.00123356703496912
"ENSG00000020577",1.20336328262356,7.18322960438473,83.2554890240826,7.72590358133239e-06,0.00126262511193477
"ENSG00000136877",0.632633760073767,5.61962274366897,83.1020528897661,7.78448606955716e-06,0.00126262511193477
"ENSG00000100784",-2.45742345070048,2.07213972952325,83.063268239525,7.85515942653761e-06,0.00126262511193477
"ENSG00000077254",0.889283703698115,7.00133916488442,82.2959803135903,8.10115003429519e-06,0.00128195439400297
"ENSG00000143891",-1.11474033751042,4.63503317783898,82.1814172212307,8.14837491645218e-06,0.00128195439400297
"ENSG00000197043",0.917610530634948,9.36772416175276,82.0546181654016,8.19902223038124e-06,0.00128195439400297
"ENSG00000246430",2.05991455309412,6.66103325566207,80.4752867218242,8.87646928073262e-06,0.00137537292936325
"ENSG00000115419",1.18151823722657,7.4982808016216,79.6233948943293,9.27027362584851e-06,0.00142356639366936
"ENSG00000152495",-1.32663605882609,1.74013366177353,79.441768316522,9.39021995151558e-06,0.00142922471633731
"ENSG00000183722",0.689189584394673,7.13996113002357,78.6098635724704,9.76704741297325e-06,0.00147353902154146
"ENSG00000131242",-2.20847405025729,0.670209449450678,78.9102453245606,1.01267682212652e-05,0.00151452423163079
"ENSG00000169715",2.1691507409968,4.69871067911769,77.3362871024809,1.04399784340675e-05,0.00153642525863011
"ENSG00000185432",2.32257710915645,7.50663732731898,77.2267597703914,1.04986283032155e-05,0.00153642525863011
"ENSG00000138078",-0.670864150076015,5.81456559741456,77.149964315675,1.05412047513433e-05,0.00153642525863011
"ENSG00000163513",1.45167576728532,9.2718473880898,76.9185150139266,1.0670689924615e-05,0.00154222853792818
"ENSG00000130066",1.31807594187165,7.58325606213909,75.8718032545523,1.12813322117045e-05,0.00161689693924255
"ENSG00000164291",0.849699937899123,4.53020214496704,75.5012211373621,1.15086021628651e-05,0.00162384567843061
"ENSG00000177575",4.30640411369446,-0.792738026719396,45.0432766694204,1.15186448496153e-05,0.00162384567843061
"ENSG00000171469",-0.666874212528956,4.82507888135415,74.7607631339278,1.19774402500683e-05,0.00167479670618638
"ENSG00000157152",3.53554729738374,1.26919363854872,74.965781632724,1.26672086715945e-05,0.00175696227373188
"ENSG00000101342",4.12259338647105,1.01665684958247,73.5875616807124,1.28077163698763e-05,0.00176223931076401
"ENSG00000150907",2.28615636036916,4.99104459686531,72.9206638781454,1.32501975073296e-05,0.00180865195975049
"ENSG00000070388",2.77826925557818,-1.48483109701649,50.9673579812561,1.34833460665254e-05,0.00182598479526119
"ENSG00000152332",0.653814127578328,7.12181936251016,72.3937919245938,1.36423095745632e-05,0.00183088643111326
"ENSG00000143786",-1.51730039798381,1.90660776458392,72.2411121597923,1.38022224942006e-05,0.00183088643111326
"ENSG00000164105",1.22812586949267,4.6580950626437,72.1391901517897,1.38388997060715e-05,0.00183088643111326
"ENSG00000154734",2.29180674017353,10.4693762741805,71.5024063228255,1.43421318823867e-05,0.00188297958965777
"ENSG00000211445",3.73909251735454,9.16648439995154,71.3298914837994,1.4482609431045e-05,0.00188701817882229
"ENSG00000157510",1.6918538069201,4.51583359380968,70.8356475239775,1.48966259287873e-05,0.0019110693608033
"ENSG00000168234",0.768768364844566,4.79414367618439,70.7754788279867,1.49457517243589e-05,0.0019110693608033
"ENSG00000166482",-0.967605694646225,10.2689027886019,70.6528441638967,1.50504071246288e-05,0.0019110693608033
"ENSG00000253368",1.96458153476049,5.60582309176166,70.5818455098752,1.51116595772574e-05,0.0019110693608033
"ENSG00000168917",0.805640466116159,3.48704104493694,70.2820217233103,1.53775046499717e-05,0.00193049417864863
"ENSG00000185813",1.11847895237192,4.45751113238339,69.9823788132543,1.56418546486803e-05,0.00194945114567139
"ENSG00000155130",-1.18707550951359,8.04858196792776,69.6125807358109,1.59768877075056e-05,0.00197688123511791
"ENSG00000157514",3.33591078573955,6.68981265612051,69.0995532362557,1.64596085124148e-05,0.0019934992631139
"ENSG00000116001",-0.508665223299332,5.96830799371452,69.0244550381784,1.65316094540324e-05,0.0019934992631139
"ENSG00000182010",-1.89881959705693,2.49878247165705,69.0550137956402,1.65351031723433e-05,0.0019934992631139
"ENSG00000108830",-2.3528757053696,2.91597911770623,69.0108588262461,1.65748238051798e-05,0.0019934992631139
"ENSG00000177674",1.1055781522027,5.1379437518129,68.6283510019115,1.69186035109277e-05,0.00200728405230654
"ENSG00000173221",0.99001678108332,6.53632996332272,68.6239273167272,1.69228552581224e-05,0.00200728405230654
"ENSG00000169744",-1.32261348293321,4.85772909424776,68.2506226699907,1.72995168274674e-05,0.00203790678024391
"ENSG00000102804",1.18962713387569,7.97967753592783,68.095194188598,1.74568426730385e-05,0.00204245059274551
"ENSG00000087116",0.696704554569484,7.70695734153226,67.9228459524628,1.76353487339803e-05,0.00204939434375491
"ENSG00000114745",0.547679058548885,5.52842128158506,67.7673272783444,1.77984106542008e-05,0.00205446218014497
"ENSG00000146373",1.08622379231715,5.26194413907808,67.5759658174642,1.80015675824067e-05,0.00205605243483264
"ENSG00000003402",1.17980901286744,6.89680771421107,67.5294199896865,1.80512772637786e-05,0.00205605243483264
"ENSG00000134243",2.21911334887513,8.00895986594728,67.2708642640228,1.83311486029542e-05,0.00207419358435664
"ENSG00000176771",-2.21075623163521,2.3675998468917,67.1674808555261,1.8501622646741e-05,0.00207980005164247
"ENSG00000143344",-1.07442526718385,5.6601270942011,66.809126576562,1.8844379254232e-05,0.00210457453762036
"ENSG00000163378",1.25939943580125,6.40028347946089,66.0989424819534,1.96683116688783e-05,0.00216767607616264
"ENSG00000164933",0.84945752213707,4.4401151892945,66.0108029910953,1.97750520180569e-05,0.00216767607616264
