"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000108270",728.23376771651,0.247208627792971,0.0929282452427894,2.66020979032909,0.00780919931521219,0.0484599806998985
"ENSG00000108387",19.0970090690116,1.9313082423662,0.491494175809798,3.92946312982067,8.51357288623593e-05,0.0012119632333878
"ENSG00000108468",1457.05182544695,-0.467456799824489,0.0851237248802414,-5.49149840989857,3.98537912973507e-08,1.44824624646644e-06
"ENSG00000108588",1297.89540353936,0.266869968753344,0.0746557338446901,3.57467477727198,0.000350663504255721,0.00404477499999605
"ENSG00000108602",7.44082817703959,-2.47747458022804,0.864274715929474,-2.866535992047,0.0041499096779512,0.0294493017908726
"ENSG00000108604",2181.54555974853,1.27658998561155,0.18421378379581,6.9299373766003,4.21026956217058e-12,3.57497740249256e-10
"ENSG00000108684",7.45999151835535,-2.35929719649898,0.794216653636623,-2.97059648106853,0.00297222028289715,0.0227587153090411
"ENSG00000108700",15.0471637599438,-3.7033607282272,1.05638686008173,-3.50568609679667,0.000455431995933481,0.00501062834781979
"ENSG00000108788",522.764884050143,0.274659660849112,0.0989184961758171,2.7766259240429,0.00549263539047641,0.0365862843562918
"ENSG00000108797",1574.45169577605,-0.614395542147544,0.159171467044985,-3.85996029033209,0.000113405452405153,0.00154375422194698
"ENSG00000108821",101171.204153438,-1.30094341790939,0.110103126170292,-11.8156810179692,3.23913484241998e-32,2.77788204085938e-29
"ENSG00000108828",12559.4812696612,-0.607126396110175,0.162830307642739,-3.72858348608082,0.000192559116664825,0.00243387912235451
"ENSG00000108829",1664.37587903278,0.498103379896471,0.164374082559033,3.03030363510976,0.00244307993444015,0.0196362263521637
"ENSG00000108830",158.590545748661,-2.36757099270745,0.302234808063947,-7.83354838535514,4.74290202843615e-15,6.20994317494174e-13
"ENSG00000108840",2778.25088449256,0.566775754410593,0.151995554000926,3.72889692817687,0.000192319790613323,0.00243264679100274
"ENSG00000108846",412.107327518466,0.801019466533958,0.289558158470905,2.76635088012706,0.0056687504219551,0.0375117311872584
"ENSG00000108861",2107.75828617748,0.501872343581396,0.142279444155935,3.52737070740418,0.000419708685863849,0.0046959187083736
"ENSG00000108946",7484.10181442206,0.266554403628582,0.0878862707151356,3.03294702869531,0.00242178106964529,0.0195015910359418
"ENSG00000108950",1013.25243220341,1.084926298982,0.19814643617677,5.47537629197692,4.36582872556725e-08,1.56331303342233e-06
"ENSG00000108960",1725.65684097083,1.64219302567487,0.230292245085718,7.13090892428279,9.9708281606994e-13,9.66212681425515e-11
"ENSG00000109133",717.484450539026,0.280205014955472,0.101451683546492,2.76195529891885,0.00574563442919116,0.0378889356899218
"ENSG00000109184",1180.71366660783,0.348114774642552,0.108091875478346,3.22054523618929,0.00127946998529341,0.0116980112941112
"ENSG00000109189",648.321002460321,0.73034152696093,0.119407538500377,6.1163770406223,9.5726685064041e-10,4.9632489460053e-08
"ENSG00000109339",776.333388798849,-0.747574522890645,0.171455329820186,-4.36017080177481,1.29960962129524e-05,0.000240722507823498
"ENSG00000109501",1975.40912461875,0.521676970545821,0.19701539421536,2.64789953406164,0.00809935910544806,0.0498815825409857
"ENSG00000109572",1734.89719007373,-0.390111863463749,0.102235018235334,-3.81583404783823,0.000135723703372977,0.0018045991939948
"ENSG00000109586",375.595384047846,0.349480067805869,0.126004318063605,2.77355628105901,0.00554472484430211,0.0368188619936004
"ENSG00000109625",41.5787470156669,-1.77773729722148,0.321067210574093,-5.53696309891859,3.07761361768723e-08,1.1352092208725e-06
"ENSG00000109654",1282.36179913309,-0.867727161654255,0.158152831209189,-5.48663691329376,4.0965793668362e-08,1.48237403586444e-06
"ENSG00000109674",48.0024043869858,-1.36465776268234,0.36464848190686,-3.74239255171479,0.000182276479259387,0.00232101423330141
"ENSG00000109680",596.816207528143,-0.736179392229616,0.24941595980853,-2.95161301143183,0.003161188433621,0.0239173815674757
"ENSG00000109685",831.08743842612,-0.348767023705964,0.0815190783751999,-4.27834846342017,1.88285103905918e-05,0.000332249598991184
"ENSG00000109686",5946.9754400785,0.733337364242511,0.123178893013204,5.95343363058068,2.6257436613602e-09,1.22715954440464e-07
"ENSG00000109689",1144.86678197439,-1.02243469463002,0.178264643379726,-5.73548784125466,9.72320677535107e-09,3.94261093642604e-07
"ENSG00000109736",1045.34062979595,0.498405251320993,0.117934874700647,4.22610574341213,2.37770291816828e-05,0.000404988683738058
"ENSG00000109775",324.700787295746,-0.506271429387644,0.104009437849275,-4.86755278998148,1.12988655758017e-06,2.76459546870401e-05
"ENSG00000109814",1781.3845808354,0.403738790523915,0.133508880985755,3.02405942992656,0.00249407439634309,0.0199525951707447
"ENSG00000109861",4064.34026769822,1.00817637748849,0.236437748448861,4.26402460733357,2.00777318489471e-05,0.00035176022132088
"ENSG00000109881",67.1634891008044,-1.31489060310671,0.220462609644993,-5.96423404959261,2.45784228492093e-09,1.15498385947846e-07
"ENSG00000109906",385.649573663505,7.17268152813332,0.508765757731594,14.0982002407429,3.89578899534251e-45,7.42450809423498e-42
"ENSG00000110057",335.784119097149,0.6959280538965,0.147803511939851,4.70846764574652,2.49585971533103e-06,5.63276129438918e-05
"ENSG00000110090",2277.35728853716,0.728577053627224,0.158517521794526,4.5961925557455,4.30281087681644e-06,9.15655237706644e-05
"ENSG00000110108",2137.20104910278,0.343873511615945,0.118975295344401,2.89029340604304,0.00384882416961876,0.0277024893652123
"ENSG00000110203",19.1121401314371,-1.44498431898517,0.484878136983886,-2.98009790248223,0.00288156271501472,0.0222033080359085
"ENSG00000110237",2626.28758955832,0.395523398357398,0.0806585437557805,4.90367641095742,9.40593911858639e-07,2.34833577528375e-05
"ENSG00000110400",150.943240367341,-0.898772197679294,0.198255044455836,-4.53341401802015,5.80378974756142e-06,0.000118086123072566
"ENSG00000110422",2514.84762402116,0.571247865757982,0.157262011040635,3.63245937132508,0.000280732787437783,0.00334849010440393
"ENSG00000110442",419.269438327552,-0.378036195884939,0.108218846555485,-3.4932565622118,0.000477167824576872,0.00520966424388448
"ENSG00000110492",1556.31469432995,-0.484973769396217,0.155282958898654,-3.1231615679911,0.00178919500598616,0.0152677973844152
